,Gene Name,Statistic,pvalue_x,pvalue_y
0,KCTD3,4.6185061926430615,3.865124472716173e-06,6.62475852475807e-06
1,PRPF40A,4.2733830773086225,1.9252926336155072e-05,7.89807194076157e-05
2,CDC73,4.264348440781544,2.0048637324894128e-05,0.0004382746946465
3,TMEM191A,-3.960784653471671,7.470388112418716e-05,7.48333739012352e-05
4,PIK3CA,3.805388905205903,0.0001415815526983116,0.0034014509729021
5,AACS,-3.702394048797196,0.00021357456103055,0.0001230747569219
6,WFDC2,-3.695166339575532,0.00021974287913499935,4.44942891241116e-06
7,SCYL3,3.6066269016101526,0.0003102031859555245,1.03052771212035e-05
8,ITPKA,-3.583136846639746,0.0003394926341969784,1.48343837411735e-05
9,DDX59,3.5704883555018347,0.0003563162950470861,0.0001300490904758
10,NFXL1,3.561453718974755,0.00036880712470102546,9.31841070249495e-05
11,C16orf87,3.5524190824476753,0.0003817063978970154,0.0003594976259805
12,CDK5,-3.527122100171853,0.00042010298294181496,1.57955383707746e-05
13,WDR75,3.523508245561021,0.0004258738455770948,0.0029442301351629
14,LINC00538,3.523508245561021,0.0004258738455770948,0.0037790804567109
15,KPNA5,3.5108597544231097,0.0004466599770152182,0.0004737311811792
16,ATP6V1G2-DDX39B,3.4909835540635346,0.0004812458757299752,0.0035389669873554
17,NHLRC2,3.4765281356202076,0.0005079509291743054,0.0029774131010148
18,MARCH7,3.47110735370396,0.0005183167370483648,0.0043748363185865
19,H1F0,3.467493499093128,0.0005253364488926526,1.0481292875003e-05
20,FAM75C1,-3.4331618802902257,0.0005965857888486654,0.0073722002350439
21,CWC22,3.424127243763146,0.0006167773435614587,0.0003374666132518
22,BNIP2,3.420513389152314,0.000625030589278914,0.0161217304759418
23,HPCAL1,-3.398830261487323,0.0006767470192415743,0.0008335102606206
24,RSPH3,3.368112497295253,0.0007568470691895283,0.0062994635245506
25,C9orf102,3.364498642684421,0.0007668286144623862,0.0029411310632437
26,DDX21,3.3626917153790052,0.0007718650915473656,0.0036788671466908
27,GNAT2,3.346429369630262,0.0008185953106912705,0.0002949716606546
28,RSRC2,3.330167023881519,0.000867939037349861,0.0076362182117473
29,HDGF,3.328360096576103,0.0008735886961433937,0.0001987827460798
30,RRN3P2,3.31209775082736,0.000925991845148926,0.0043109231776721
31,TMEM160,-3.31209775082736,0.000925991845148926,0.0036766241737789
32,CRELD1,-3.288607695856953,0.0010068425604276357,0.0024303935909509
33,SETD6,3.274152277413626,0.001059794832467006,0.0029600420317388
34,TROVE2,3.270538422802794,0.0010734295885343012,0.0007442284471728
35,RBM17,3.268731495497378,0.0010803076485860718,0.0005340172126811
36,PTPRN2,-3.266924568191962,0.0010872264531342443,0.0019549569471358
37,SLC19A2,3.248855295137803,0.0011587040578184783,0.0285108423971978
38,NLRP10,-3.2325929493890597,0.0012267222071821195,0.0002633524861587
39,PTDSS2,-3.2325929493890597,0.0012267222071821195,0.0011970091242453
40,CCDC75,3.230786022083644,0.0012345032045498743,0.0008588062995731
41,C6orf170,3.210909821724069,0.001323154496621525,0.0034972009278909
42,NRP2,3.209102894418653,0.0013314983284609411,0.0046420380850311
43,TMEM212,3.209102894418653,0.0013314983284609411,0.0293860228957511
44,ZNF597,3.2072959671132373,0.0013398906835087577,0.0011583371028447
45,SNORA55,3.2036821125024053,0.0013568219828880388,0.0039213239596906
46,GTPBP4,3.196454403280742,0.0013912781416141602,0.0002929745920555
47,GNL3,3.19284054866991,0.0014088071591009733,0.009942538508683
48,VSTM2L,-3.18380591214283,0.0014535243620411652,1.04469777576625e-06
49,THEM5,-3.1765782029211667,0.0014902360487950856,0.0037394074616697
50,ZHX1,3.1765782029211667,0.0014902360487950856,0.026025258530061
51,NEURL,-3.1765782029211667,0.0014902360487950856,1.52054055463162e-05
52,MAP3K7,3.174771275615751,0.001499546503390431,0.0030134057637286
53,ROGDI,-3.174771275615751,0.001499546503390431,6.37453692853926e-05
54,SDCBP,3.1729643483103347,0.0015089105216364803,0.0373832715523127
55,MAP1LC3A,-3.171157421004919,0.0015183283809391762,0.0005757595409126
56,SENP2,3.169350493699503,0.0015278003599468934,0.0060556829991518
57,ERCC4,3.165736639088671,0.0015469077979094938,0.0004951227126865
58,L3MBTL3,3.1639297117832554,0.0015565438204129757,0.0031006285218254
59,ARF5,-3.1603158571724235,0.0015759818907799454,0.0022758927000635
60,EDNRA,3.1585089298670077,0.0015857845097659974,0.0009232855195344
61,XPOT,3.1548950752561757,0.0016055583526938665,0.0007803437805331
62,EPC2,3.1512812206453438,0.0016255589336268814,0.0047902171043324
63,EPRS,3.1440535114236803,0.0016662496730659388,0.0319416009564905
64,ATP13A2,-3.1386327295074326,0.0016973804379204088,0.0035196441314321
65,LOC100132111,-3.136825802202017,0.0017078756634064613,0.0028450242737626
66,SLK,3.136825802202017,0.0017078756634064613,0.013544478802993
67,FAM208B,3.1350188748966006,0.0017184305448901783,0.000315937584638
68,COBLL1,3.1350188748966006,0.0017184305448901783,0.0082181718407938
69,RBL2,3.1350188748966006,0.0017184305448901783,0.001560640941224
70,ZZZ3,3.131405020285769,0.0017397204949225022,0.0011874896143617
71,TRIM3,-3.129598092980353,0.0017504561763536336,0.0002704312609288
72,LOC728743,-3.127791165674937,0.0017612527395566282,0.0004582705703295
73,DUX4L4,-3.127791165674937,0.0017612527395566282,3.49090804128937e-05
74,MOSPD3,-3.1133357472316097,0.0018498544517421374,0.0008323300276571
75,TMEM170A,3.111528819926194,0.0018612130558690835,0.0009096874976355
76,SSB,3.0970734014828665,0.0019544147362053573,0.0205004501389792
